Note,Commentaire
5.0," J'ai 55 ans. Je fais partie de la generation Led Zeppelin. Lady Gaga, pour moi, c'était une star moderne hors de mon monde musical. Mon film préféré ? Le Patient Anglais. Une histoire d'amour sur fond de tragédie humaine. J'ai lu quelques critiques sur 'a Star is Born' et j'ai eu envie d'y aller. J'y ai emmené mon épouse qui ne savait absolument pas ce qu'elle allait voir.C'était il y a deux jours. Je ne suis toujours pas redescendu. C'est la première fois que j'écris quelque chose de public à propos d'un film. Ces deux acteurs arrivent à être tellement vrais qu'on pourrait croire qu'une vraie histoire d'amour avec un grand A a eu lieu entre eux deux. Pas besoin de scenes de nus, juste des mises en situation et ces expressions faciales de cette immense artiste qu'est Lady Gaga. Car au delà d'une histoire qui, comme beaucoup de spectateurs, dont mon épouse, m'a bouleversé, j'ai découvert une artiste immense. J'ai passé mon dimanche à découvrir les performances phénoménales de cette jeune new yorkaise.Nous y retournons samedi. Oui. Nous devons revoir cette merveille, main dans la main, la femme de ma vie et moi. "
3.0," Bradley Cooper et Lady Gaga réunis pour une romance pleine de chansons, voilà bien la promesse de belles émotions ! Ils ne déçoivent pas une seconde, tenant parfaitement leurs rôles, ils nous offrent des personnages très attachants. Lady Gaga est bien plus belle au naturel et a une voix incroyable, quant à Bradley, son look à la Kurt Cobain lui va comme un gant ! De très belles mélodies nous emmènent dans leur univers et leur histoire est très touchante. Dommage que dans la seconde moitié du film, l’énergie du début s’amenuise un peu. Cependant, rien de bien méchant, ça reste tout à fait correct ! Bref, deux très belles prestations pour un film assez prenant ! "
3.0," « A Star is born » premier film de Bradley Cooper et ainsi toutes les chances d’attirer un grand public, avec Lady Gaga en haut de l’affiche !Rien que ça !Et donc si ce n’est un gage de réussite, c’est déjà le pari d’un succès programmé, avec ce remake nº3 de « Une étoile est née » de George Cukor...Maintenant, cette histoire est sans doute le propre de beaucoup d’artistes du monde de la musique, du cinéma, ou du show-business,...Le reflet de ce que peuvent vivre celles et ceux, dont la route de la gloire, due à la reconnaissance, aux prix et récompenses, puis ainsi à la célébrité, amènent à des comportements à risque inévitables afin d’être toujours le meilleur en toutes circonstances. D’autant plus qu’ici le destin croisé de ces deux êtres, devient compliqué par une multitude de raisons, liées au passé douloureux et à la fragilité de l’un, au danger de la manipulation de l’autre, à la confrontation de deux egos et de leurs enjeux, et à celui d’un amour pourtant sincère mais malmené par la drogue et l’alcool !Sans compter que l’un, en tant que « rocker tendance country », est sur une pente glissante et descendante, alors que l’autre en « produit marketing ultra formaté » est en pleine ascension !En soi, rien de bien révolutionnaire au fond, un schéma assez classique, mais bien décrit dans son déroulement, surtout dans une deuxième partie plus aboutie sur le plan psychologique mais par contre assez classique et prévisible, et également un peu trop chargée en pathos aux alentours...Et il faut bien reconnaître que la fascination d’un très grand nombre pour la vie et les secrets de ces stars, y sera aussi pour beaucoup dans le désir de découvrir ce film, en posant par conséquence de sacrées questions sur la raison du pourquoi de ce curieux intérêt !S’enflammer pour Bradley Cooper et Lady Gaga à travers cette fiction pourra plaire ou déranger certains, mais leur vie n’a au fond rien de bien original ou nouveau à nous apporter en tant que vraies et intéressantes révélations, en tous cas pas plus que la nôtre ou celle du voisin, finalement... !Ce qui n’enlève pour autant rien à la prestation de ces deux acteurs, même si personnellement j’ai eu un peu de mal avec la tessiture de la voix de cette chanteuse, surtout quand elle la pousse à son paroxysme. Il en reste une romance avec de beaux moments, sincères, assez émouvants parfois, mais dont le traitement a l’américaine donne un côté très fleur bleue qui pourra plaire, mais qui affadit beaucoup la portée de cette histoire en la réduisant plus à un teen-movie. Pas de violons ici, et pourtant l’effet tire-larmes opère à fond, presque à l’overdose dans cette success-story made in USA. Un aspect sans doute inévitable outre-Atlantique, que l’on aurait préféré éviter pour en faire un film bien plus sombre, profond et percutant !Alors mi figue, mi raisin sans doute, mais après tout pourquoi ne pas se faire son propre avis, surtout si Lady Gaga est là, avec pour elle inévitablement un très beau et gros bénéfice assuré à la clé ! "
3.0," Bradley Cooper se lance dans la réalisation et on s’étonne de le voir choisir un nouveau remake de « Une étoile est née », déjà adapté trois fois au cinéma, la version la plus célèbre étant celle de 1954 par Georges Cukor avec Judy Garland dans le rôle titre. Le projet est passé entre plusieurs mains dont celle de Clint Eastwood avec Beyoncé dans le premier rôle. D’ailleurs, à la vue de « A star is born » on pourrait croire que l’octogénaire a laissé planer son patronage sur le film tant on y retrouve des traces de son œuvre. On nous dirait que c’est lui qui a mis en scène cette version qu’on n’en serait pas étonné. Finalement c’est une autre pop star qui hérite du rôle d’Ally, une jeune chanteuse qui ne parvient pas à percer dont la rencontre avec un crooner sur le déclin va changer la vie. Et non des moindres puisqu’il s’agit de Lady Gaga. La star crève l’écran sans que l’on en soit vraiment étonné au vu des ses prestations vocales et scéniques dans le passé ainsi que dans quelques apparitions notables, notamment dans la série « American Horror Story ». Ici, elle joue sans fard dans tous les sens du terme pour incarner ce personnage qui entretient de nombreuses ressemblances avec son propre parcours.Un jeu de miroirs intéressant qui nourrit d’ailleurs le long-métrage. La première partie du film qui ressemble beaucoup à un conte de fées est plutôt réussie. Bradley Cooper tente à tout prix de ne pas tomber dans le romantisme fleur bleue et, même s’il n’y échappe pas toujours, on finit par croire à cette histoire d’amour qui met des étoiles dans les yeux et du baume au cœur. On sent néanmoins que sa première réalisation est tiraillée constamment entre le film d’auteur à la tonalité plutôt grave et la romance sucrée tous publics. Cet écart se ressent fortement tout le long de « A star is born », l’œuvre alternant scènes intimes plus confidentielles et graves avec cet aspect de production sucrée pour midinettes en mal d’histoires d’amour qui font rêver (et pleurer dans les chaumières). La seconde partie apparaît moins convaincante avec davantage de poncifs et un déroulement plus attendu. C’est l’histoire bien connue de la jeune femme qui passe de l’ombre à la lumière ou de la chenille qui se transforme en papillon.Il y a de belles fulgurances qui traversent le long-métrage, notamment des moments musicaux qui parviennent à nous toucher en dépit d’une musique soit trop country et destinée à flatter le public américain, soit trop pop et très niaise. Mais parfois ça fonctionne… On apprécie également certaines relations (pas assez développées cependant), comme celle entre le rocker Jackson Maine (que Cooper interprète lui-même avec un sacré accent) et son frère. Des rapports émouvants et beaux qui auraient gagné à prendre plus de place dans « A star is born ». Mais on sent que le néo-cinéaste n’a d’yeux que pour son actrice principale. Le film n’est donc pas vraiment une déception mais pas une franche réussite non plus. Il parvient à nous émouvoir par à-coups, nous emporter dans sa première partie et moins dans une seconde plus consensuelle. Au bout du compte et du conte, on est face à un film qui se révèle juste être une sympathique sucess-story, un peu moins bête et naïve qu’à l’accoutumée. Et d’ailleurs, le final, assez tire-larmes, confirme cette impression générale.Plus de critiques cinéma sur ma page Facebook Ciné Ma Passion. "
2.5," Je suis fan de B. Cooper et malgré cela je me suis ennuyée dans ce film. Il y a des longueurs. En plus, le titre est mal choisi car on s'attache plus à l'histoire du ""has been"" qu'à celle de la star montante. Il faut dire que B. Cooper est à la fois réalisateur, producteur et acteur. il fallait bien qu'il se mettre en avant .... Une de me étoiles va à Lady Gaga qui non seulement a une très belle voix mais joue également juste . Une bonne surprise!... "
1.5," A Star is born semble plaire beaucoup au public et aux critiques. J'avoue que je suis perplexe. Nous étions 3 et nous avions tous envie de partir. Que c'est long, ennuyeux, parfois mauvais (la première scène de Lady Gaga dans les WC est absolument grotesque tant elle est mal dirigée et mal écrite). Les 2 acteurs ont plutôt une belle alchimie et campent bien leurs personnages respectifs mais l'écriture les dessert tant les scènes peu crédibles et ridicules s'enchaînent (la scène où un personnage donne un coup de poing un flic dans un bar est incompréhensible et grotesque), les dialogues sont bien souvent insipides voire niais. L'ensemble manque donc beaucoup de profondeur et d'émotion. Le tout semble aussi superficiel que creux, et reflète probablement très bien notre époque. Restent quelques bonnes chansons, et 2 scènes magnifiques ça reste très peu. "
2.5," De bons acteurs (belle surprise pour la prestation de Lady Gaga), de beaux morceaux et des scènes de live intenses, mais ça ne suffit pas pour faire un bon film. Passé la première demi-heure, le récit perd vite de son intérêt et le film se noie dans un flot de bons sentiments, de clichés, de banalités et de scènes trop fades, trop sages... Dommage. "
2.5," le récit est assez banal, la mise en scène tres aléatoire, la montage hésitant, les seconds rôles palots . il n'y a en fait que la superbe présence de Lady Gaga et les yeux bleus acier de bradley pour nous intéresser a la vie de ce couple pleine d'incertitude d'alcool et de drogue . c'est plutot un concert à la gloire de la chanteuse qu'un film (un peu trop long) sur la découverte d'une artiste de talent. "
2.5," Qu'est-ce qui plait autant dans l'histoire d'Une étoile est née, des années 30 à aujourd'hui ? Tout simplement son côté humain, la fascination de la notoriété et les destins croisés d'un couple où l'une monte au firmament tandis que l'autre décline. La cime et l'abîme, en quelque sorte, qu'un rien sépare. Hollywood faisant moins rêver qu'à l'époque de Wellman ou de Cukor, c'est dans l'industrie musicale que se déroule cette nouvelle version signée Bradley Cooper. En soi, l'idée n'est pas mauvaise et la première partie du film est particulièrement réussie, notamment dans les scènes de concert où le grand frisson n'est pas loin quand Lady Gaga s'accompagne au piano et fait entendre la puissance de sa voix. Elle se révèle plutôt bonne actrice en plus, capable de résister à un Bradley Cooper très à l'aise dans son rôle de rock star, entre Francis Cabrel et Bruce Springsteen, en beaucoup plus fatigué, évidemment. Son personnage ressemble tout de même à un cliché ambulant et laisse craindre le pire quand le scénario vire au mélodrame. Et là c'est le drame ! Plus rien ne fonctionne dans la dernière heure d'un film qui se contente de reprendre sans aucune originalité les évolutions scénaristiques des précédentes versions. Le dernier quart d'heure est vraiment de trop, forçant systématiquement l'émotion au forceps alors qu'une pudeur elliptique aurait bien fait l'affaire. C'est là où Bradley Cooper montre ses limites de réalisateur (ok, c'est un premier film). Un mélo, cela marche quand on a du doigté et cela peut même être sublime. On ne demandait pas au néo-cinéaste de se hisser au niveau de Borzage ou de Sirk mais là, il se rate dans les grandes largeurs. "
4.0," Personne n'oubliera la version mythique de ""A Star is Born"" sortie en 1954 où Judy Garland ressuscita à l'âge mûr pour montrer un inègalable talent! Bradley Cooper ètait donc prèvenu! Et pour son premier passage derrière la camèra, il se tire tant bien que mal de l'aventure car ""A star is Born"" version 2018 est une belle rèussite à plusieurs titres! Le film, rèalisè avec d'immersives techniques de prises de vue de façon a être au plus prêt des personnages, est passionnant dans son double cheminement, dans sa relation tumultueuse entre une star de country et une jeune chanteuse très prometteuse, dans sa fin tragique! Cooper impose avec force ce chanteur de rock / country alcoolo et toxicomane qui vit de plus en plus mal son dèclin! il y a aussi pour soutenir l'intèrêt du spectateur une vèritable rèvèlation! On peut dire, que dans ses excentricitès flamboyantes et outrancières de super star de la pop, Lady Gaga possède toutes les armes d'une sèduction à la mesure du plus vaste public, capables de faire d'elle l'icône du peuple amèricain! Elle est confondante de naturel dans ""A Star is Born"" dont c'est le premier coup d'èclat au cinèma! Le film repose essentiellement sur ces deux personnages : un rockeur pygmalion très portè sur le Jack Daniel's et un diamant brut qui se transforme en star! La première partie est remarquable, que ce soit le concert dans l'intro ou la sèquence dans la boîte de drag-queen avec ce fabuleux numèro de cabaret où Lady Gaga reprend « La vie en rose » de Piaf! Tout cela est èlectrique à souhait, au coeur de l'action et de la scène quand il le faut et n'hèsitant pas à faire dans le mèlo le plus pur et le plus hollywoodien! Oscar ô combien mèritè de la meilleure chanson pour le superbe « Shallow »... "
