Note,Commentaire
5.0," Commentaire valable pour l'ensemble de la trilogie: Furieusement épique, un spectacle colossal et surtout très émouvant. Le chef-d'oeuvre absolu du septième art! Cette trilogie et mon film préféré. "
5.0," 3h fantastiques, avec scènes de bataille épiques (la fin est d'un niveau rarement atteint au cinéma), paysages toujours fantastiques. Les moyens sont gros, on se l'accordera vite en voyant les immenses armées marcher sur les Minas-Tirith. Vous pensiez que le Gouffre de Helm était une bataille d'un niveau jamais atteint au cinéma ? Jackson repoussera les limites de l'action. Bref, dépaysant, magique, poignant, et finalement émouvant, Le Retour du Roi est bien la conclusion épique d'une épopée formidable. Y'a qu'à voir les 20 dernières minutes, que certains jugeront pompeuses, et bien je dis que c'est là qu'on voit comment un réalisateur sait clore en beauté et avec soin une saga merveilleuse. "
5.0," Si tu as aimé La Communauté de l'Anneau et Les Deux Tours, tu ne seras pas déçue par Le Retour du Roi : 3h20 d'épopée, de décors époustouflants. 3h20 magiques. Tout comme dans Les Deux Tours, le film repose sur la correspondance entre les combats qui opposent les hommes aux armées de Sauron et le combat intérieur de Frodon le Hobbit, tiraillé entre la force d'attraction de l'anneau et son sens du devoir et de l'amitié. Les scènes de bataille, violentes et spectaculaires, sont comme la traduction du conflit qui habite Frodon, sans cesse tenté de céder à ses pulsions. Le personnage de Gollum, pathétique et décharné, rappelle d'ailleurs sans cesse au spectateur ce qui attend Frodon s'il succombe au pouvoir destructeur de l'anneau.Dans ce Retour du Roi, les éléments d'intrigue mis en place auparavant prennent toute leur ampleur à mesure que le dénouement approche : le voyage de Frodon, Sam et Gollum est aussi captivant que les grandes batailles qui font rage dans la Terre du Milieu. Mes ongles rongés sont là pour en témoigner.En 3h20 de film, les scènes chargées en émotion sont légion : la beauté de la cité de Minas Tirith rivalise avec la force des scènes de combats gigantesques, qui elles-mêmes font concurrence à des prises de vues époustouflantes... Comme ce moment où les feux du royaume du Gondor sont allumés les uns après les autres dans un mouvement étonnant de fluidité. Les plus fans seront déçus d'une seule chose : la fin, qui est incomplète et prive d'information, il faudra donc attendre la version longue ou lire le livre!! A vous d'en jugez. "
5.0," ""Le retour du roi"" clôture la trilogie du Seigneur des anneaux en beauté ! Et quel chef-d’œuvre , le meilleur film de la trilogie selon moi , même si il est vraiment dur d'en choisir un quand on considère cette trilogie comme un seul et unique film de 9 heures ! Bataille épique , orques , trolls et compagnie plus moches que jamais , des scènes de combats magnifiques ( notamment seul ou Legolas descend un oliphant et ou Gimli lui dit ""Ça ne compte quand même que pour un !"" ) . Sans oublier les aventures périlleuses de notre porteur d'anneaux , de son fidèle jardinier et du sournois Gollum ! Toutes ces scènes sont portés par des acteurs à fond dans leurs rôles , donnant ainsi toute leurs splendeurs aux personnages qu'ils campent et qui marqueront l'histoire du cinéma à jamais ( et nous aussi au passage ! ). Peter Jackson signe donc ici sa plus belle œuvre d'art . Pour tout cinéphile qui ce respectent , plonger vite dans 9 heures d'émotions , de batailles intense et de voyages épiques ! "
5.0," L'épisode final de la légendaire sage du Seigneur des Anneaux ( attention au Hobbit cependant ! ) qui consacre cette trilogie en la plaçant au Panthéon des meilleurs films jamais réalisés et basés sur un livre ( que dis-je, un grand nombre de livres...! ) "
5.0," Après avoir écrit une page entière de l’Histoire du cinéma avec les deux premiers opus de son adaptation de l’œuvre de J.R.R. Tolkien, le réalisateur Peter Jackson se charge donc de conclure son immense trilogie avec ce troisième et dernier acte intitulé Le Retour du Roi sorti en fin d’année 2003. Et une fois de plus, Peter Jackson nous livre un grand chef-d’œuvre du Septième Art, toujours aussi bluffant onze ans après sa sortie. Après la défaite de l’armée de Saroumane au Gouffre de Helm, le pouvoir de Sauron grandit et rassemble ses forces pour se préparer à attaquer Minas Tirith, la capitale du Gondor. Jamais ce royaume autrefois si puissant n’a eu autant besoin de son roi. De leur côté, Frodon et Sam, toujours guidés par Gollum, poursuivent leur dangereux périple à travers les terres du Mordor pour détruire l’Anneau Unique. Et tandis que Gandalf s’efforce de soutenir les forces brisées du Gondor, Theoden et Aragorn exhorte les guerriers du Rohan à se joindre au combat. Mais malgré leur courage et leur loyauté, les forces des Hommes ne sont pas de taille à lutter contre les innombrables légions d’Orques qui s’abattent sur la cité blanche. Et malgré ses pertes, la Communauté se jette dans la bataille pour la vie, ses membres faisant tout pour détourner l’attention de Sauron afin de donner à Frodon une chance d’accomplir sa mission. Sorti en fin d’année 2003, Le Seigneur des Anneaux : Le Retour du Roi signait la grande conclusion de cette grandiose trilogie qui marqua toute une génération de cinéphiles. Ce troisième opus du Seigneur des Anneaux fut le plus grand succès de la trilogie de Peter Jackson car rapportant plus d’un milliard de dollars de recettes dans le monde, se classant ainsi parmi les films les plus lucratifs de tous les temps. Et afin de récompenser l’immense travail de Peter Jackson et de toute son équipe sur l’ensemble de la trilogie, l’Académie des Oscars décida de récompenser Le Retour du Roi de onze Oscars, et il faut savoir que le film était au départ nommé pour… onze statuettes : Meilleur film, Meilleur réalisateur pour Peter Jackson, Meilleur scénario adapté, Meilleure musique de film, Meilleure chanson originale, Meilleure direction artistique, Meilleurs costumes, Meilleurs effets visuels, Meilleur montage, Meilleurs maquillages et Meilleur mixage sonore. Un record historique pour le premier film d’heroic fantasy récompensé par l’Académie, preuve que la trilogie de Peter Jackson aura marqué son temps et continuera de fasciner les générations futures grâce à sa grande puissance cinématographique inégalable encore aujourd’hui. Long de 3h04 sans générique de fin dans sa version courte, plus de quatre heures en version longue, Le Seigneur des Anneaux : Le Retour du Roi est un film très complet, un peu moins sombre que Les Deux Tours mais toujours aussi dantesque et épique. D’abord le film est de plus en plus impressionnant au niveau de ses paysages, notamment ceux du Gondor et de sa grande citadelle de Minas Tirith mais aussi les paysages noirs et désolés du Mordor, le tout magnifié par des effets visuels impressionnants. En fait pour faire simple, Peter Jackson aura réussi à créer un univers fictif très riche et détaillé, allant des armes, aux costumes en passant par les lieux, les peuples de la Terre du Milieu composé d’Hommes, d’elfes, d’Orques, de Gobelins et j’en passe. Tout est filmé de manière à ce que le spectateur soit emporté dans un univers pour qu’il y voyage et vivent avec la Communauté une aventure hors du commun. Voilà le grand point fort de cette trilogie, que j’ai déjà évoqué dans les critiques des deux autres films, c’est cette reconstitution de la Terre du Milieu de Tolkien qui a été filmée en décors naturels, où les créatures sont jouées par des comédiens maquillés, où les armes, les costumes sont très soignés et où les morceaux de bravoures sont de plus en plus déments. Car là où Le Retour du Roi devait être très attendu au moment de sa sortie, c’est pour la grande bataille opposant les forces du Gondor aux forces du Mordor. Et après la bataille du Gouffre de Helm se déroulant dans Les Deux Tours qui est entrée dans l’Histoire du cinéma et qui est selon moi la meilleure bataille de la trilogie, Peter Jackson devait se surpasser et a réussi dans ce Retour du Roi à faire une bataille aussi épique que grandiose où s’enchaînent le siège de la citadelle, bombardée par des catapultes, la percée des forces ennemies à l’intérieur de la citée amenant ainsi des combats intenses entre les Hommes et les Orques, l’armée de Theoden qui arrive livrer bataille sur le champ du Pelennor, détruisant une partie de l’armée de Sauron avant de se frotter à une armée d’Oliphants ravageant une grande partie des Rohirrims jusqu’à ce qu’Aragorn, Legolas et Gimli arrivent au moment où tout semble être perdu avec une armée de morts pour mettre fin à cette gigantesque bataille qui aura grandement secouée le cinéma tout entier. Même si elle reste aussi excellente que celle du Gouffre de Helm, je garderais une préférence pour la bataille des Deux Tours car je trouve que cette immense bataille du Retour du Roi est un tout petit peu bâclée sur sa fin avec l’arrivée de l’armée fantôme, mais sinon c’est grandiose, épique, de plus en plus impressionnant et toujours jouissif. Maîtrisé jusqu’à sa fin émouvante, Le Seigneur des Anneaux : Le Retour du Roi possède également des moments d’anthologie du cinéma comme cet affrontement entre Frodon, Sam et Arachné, une araignée géante, ou encore le final dans la Montagne du Destin où Frodon combat le perfide Gollum qui veut retrouver son précieux et qui l’emportera dans les flammes de la montagne de feu. Ensuite la musique d’Howard Shore est toujours aussi impressionnante et belle, on a parfois envie de pleurer tant elle est puissante et magnifique, elle nous fait tout simplement frissonner et vibrer sur notre siège, c’est sans doute l’une des meilleures bandes-originale que j’ai jamais entendu de toute ma vie ! Quant aux acteurs et bien ils sont toujours aussi excellents, que ce soit Elijah Wood dans le rôle de Frodon qui est de plus en plus torturé mentalement par l’Anneau, Ian McKellen est toujours majestueux en Gandalf, Viggo Mortensen en Aragorn livre une prestation pleine de charisme et de courage, Sean Astin aborde un côté plus émouvant et courageux du personnage de Sam, Andy Serkis est de plus en plus flippant en Gollum, Bernard Hill donne à son personnage de Theoden ce côté guerrier que l’on attendait, Orlando Bloom confirme qu’il est l’un des elfes les plus cultes du cinéma, John Rhys-Davies est toujours aussi attachant dans son personnage de Gimli, Hugo Weaving est encore une fois très bon dans le personnage d’Elrond et les belles Cate Blanchett, Miranda Otto, Liv Tyler apportent cette touche de féminité qu’il manque un peu, il faut l’avouer, dans cette trilogie qui reste très virile. Voilà, que dire de plus sur ce troisième film et cette trilogie en général dont nous ferons l’éloge jusqu’à la fin des temps car étant brillamment réalisée par Peter Jackson qui est devenu entre-temps l’un des plus grands réalisateurs du Septième Art, un maître des films d’heroic fantasy qui aura contribué à l’écriture d’une page du cinéma. De plus, l’impressionnante distribution d’acteurs, les morceaux de bravoures épiques et dantesques ou encore la bande-originale mythique, achèvent de rendre ce film et cette saga une œuvre d’anthologie. La quête pour la destruction de l’Anneau Unique s’est achevé pour de bon tout comme une des plus grandes trilogies du cinéma. Merci monsieur Jackson pour ces grands moments de cinéma. "
4.5," "" Le seigneur des anneaux , Le retour du roi "" troisième et dernier volet de la monumental trilogie du "" Seigneur des anneaux "" de Peter Jackson . La trilogie se clos a merveille avec ce 3ème volet épique et spectaculaire . Dans ce 3ème épisode Frodon ( Elijah Wood ) et Sam ( Sean Astin ) continuent de suivre Gollum ( Andy Serkis ) qui les emmènent à la montagne du destin détruire l'anneau . Pendant ce temps la Gandalf ( Ian Mckellen ) , Aragorn ( Viggo Mortensen) , Legolas ( Orlando Bloom ) et les autres se prépare a aider le royaume du Gondor qui va être attaquer par les armées de Sauron qui devient de plus en plus puissant ...Ce troisième et dernier volet de la trilogie du "" Seigneur des anneaux "" est monumental et clos de manière magistral cette trilogie culte . L’histoire est toujour aussi prenante et continue de nous tenir en haleine de bout en bout avec donc Gandalf et les autres membres de la communauté qui tente d’aider le royaume du Gondor à affronter les armées de Sauron tandis que Frodon et Sam poursuivent leurs chemin jusqu’au Mordor pour détruire l’anneau ce qui va les embarquer dans de nouvelles péripéties remplit d’humour , d’action , de fantastique , de suspense et de rebondissements . Un film qui contient toujour son lot de scènes cocasses  spoiler:  ( les échanges entre Gimli et Legolas toujour aussi drôle nottament leurs rivalité lors des combats où ils compte le nombre de leurs victimes ... )   et de scènes d'action mémorable absolument dantesque à la fois épique et spectaculaire  spoiler:  ( l'attaque contre Minas Tirith , l'attaque des éléphants géants , Frodon et Sam face à l'araignée géante ... )  . Les acteurs sont toujour magistraux dans leur rôle repectifs ( Elijah Wood , Viggo Mortensen , Orlando Bloom , Andy Serkis , Ian Mckellen , Ian holm , Dominic Monaghan , Billy Boyd , Sean Astin , Hugo Weaving , Jonh Rhys Davies , Bernard Hill , Miranda Otto , Liv Tyler , Cate Blanchet , David Wenham ... ) . Les décors , costumes et effets spéciaux sont toujour aussi réussit et permettent de donner vie de manière magistral à l'univers de la terre du milieu et à ses créatures fantastique . Les paysages de la terre du milieu tourner en Nouvelle Zélande sont toujour aussi magnifique et dépaysant . Évasion et dépaysement garantit . Le film contient de nouveaux lieux ( Minas Tirith la magnifique et grandiose capitale du Gondor construite dans les montagnes , le haut col de Cirith Ungol ... ) et de nouvelles créatures fantastique ( l'armée de fantômes , l'araignée géante , les éléphants géants , les aigles géants ... ) qui viennent pour notre plus grand plaisir enrichir l'univers de la terre du milieu . La realisation de Peter Jackson est toujour aussi magistral . La musique est toujour très bonne et colle toujour merveilleusement bien a l'univers du film . On pourra juste regretter quelques longueur dans la première partie du film et une fin qui traîne un peu trop en longueur a mon goût . Ils aurait du raccourcir un tout petit peu la fin . Malgré tout ce 3ème volet est magistral et connu un immense succès planétaire à sa sortie ( plus de 7,3 millions d'entrées en salle en France ) . Il a été également récompenser par 11 oscars égalant ainsi le record de "" Ben Hur "" et "" Titanic "" . Un 3ème volet qui conclut la trilogie du "" Seigneur des anneaux "" de manière magistral . "
5.0," Le film le plus épique que j'ai pus voir. Le plus gros frissons de ma vie ! On y trouve l'une des scènes les plus impressionnante de toute l'histoire du cinéma, composé d’effets spéciaux spectaculaire n'ayant pas pris une ride en 10ans ! Acteurs exceptionnels, passages cultes, musique enflammé, discours héroïques ! 11 oscar largement mérité, 3h30 de pur bonheur, bref... Le plus grand film de tout les temps ! "
5.0," Plus de 3h 20min époustouflante !! Ce dernier volet est une réussite totale dans tous les genres. Comme d'habitude un scénario équivalent au deux derniers volets, une mise en scène originale et nouvelle. Mais, dans ce troisième opus, trois fois plus d'actions, des séquences d'actions vertigineuses, et des effets spéciaux hallucinants, époustouflants même audacieux. Le génie Peter Jackson réalisé un chef d''oeuvre au delà de nos espèrences, de notre imagination. Magnifique ! Immense. 5/5 ***** "
5.0," Un grand chef d'oeuvre! Le Seigneur des Anneaux est ma trilogie préfèrée. Ce dernier opus est le plus spectaculaire. Je l'adores autant que le premier. La bataille finale est la plus épique que je connaisse, tout simplement. On retrouve bien nos parfaits acteurs, les sombtueux paysages, les parfaits dialogues, les costumes géniaux, le scénario excellent et la musique épique by Howard Shore... Bref, rien à dire de négatif. On ne s'ennuie pendant les 3h10 du film qui a su conclure parfaitement cette incroyable et passionnante trilogie qui ne devra pas être oubliée.Trilogie à voir absolument, si possible en version longue dont les scènes inédites sont vraiments parfaites et bien incorporées dans les films du maître de l'adaptaion des romans de Tolkien: Peter Jackson! "
