Note,Commentaire
3.0," « Bohemian Rhapsody » est un biopic de facture assez classique dont le mérite est d’être porté à bouts de bras par un Rami Malek plutôt éblouissant et bluffant dans son apparence et son interprétation très physique de Freddie Mercury. Maintenant comme dans tous les films appartenant à ce genre bien particulier, ce sera plus la vie de la star qui sera sous les projecteurs, que la star elle-même et sa voix fabuleuse !Et de ce point de vue, pour ceux qui sont des aficionados de Queen, autant finalement réécouter et s’imprégner de leur musique confortablement chez soi ou ailleurs...Car ici, comme dans tout bon biopic qui se respecte, on rentre aussi et inévitablement dans l’intimité du chanteur, et c’est ce que beaucoup recherchent, et dans ce cas, on pourrait ironiser et se demander pourquoi ne pas s’intéresser aussi à celle de notre facteur ou celle de notre boulanger préférés ?En effet il y a toujours cet attrait pour les moindres détails croustillants, cette identification mystérieuse et étonnante de l’homme lambda pour ces célébrités et leur vie privée, alors que finalement dans ce film, l’aspect biographique se limite beaucoup plus à la description, qu’à une analyse psychologique profonde du personnage principal, un peu à l’image de cette réalisation de Bryan Singer, au demeurant très soignée et très léchée, un peu trop sage et de fait, en contradiction totale avec la personnalité sombre et torturée de Freddie Mercury !Cependant il faut reconnaître, qu’entre extraits de concerts assez réalistes et le mélange vie personnelle/vie du groupe, ça ne passe pas si mal et on se laisse donc porter par les événements qui ont jalonné le destin fabuleux de ce quatuor. Ce biopic en devient plaisant, touchant par moment, sans devenir bouleversant alors qu’on s’attendait à être littéralement tétanisé et secoué par ce groupe de légende !Car malgré tout, il faut reconnaître que l’ensemble respire un peu la platitude sur les bords, même si des soupçons d’émotion à travers les yeux hagards et inquiets de Freddie nous atteignent quelquefois et sans prévenir !Il est vrai qu’à ce niveau l’acteur est intense, présent et donc très charismatique à l’écran !Son envolée lyrique au concert « Live Aid » est d’ailleurs la cerise sur le gâteau pour cet artiste dont les images finales nous le transcendent enfin comme on l’espérait...Ces biopics dans leurs enjeux et leur démarche, sont maintenant la porte ouverte à remettre en scène tous les groupes ou chanteurs mythiques, et aboutiront donc trop souvent à un cinéma sans véritable imagination, mais dont les ayants droit auront de plus un sacré bénéfice à en tirer au passage. Tout ceci finalement mérite bien réflexion sur le fond, ce qui n’empêche à « Bohemian Rhapsody » vaut le détour sans doute par le faste dégagé et ses acteurs, avec un sentiment à la clé de cautionner un star-system insidieux, dont nous sommes les premières victimes et pour cause ! "
4.5," Encore une fois, et comme trop souvent ces dernières années sur la plupart des sujets, la presse fait fausse route et tente d'imposer une vision avec laquelle le grand public refuse de s'accorder. N'en déplaise aux esprits chagrins, aux sinistres égos qui s’extasient à Cannes devant des navets imbuvables que seuls trois étudiants en photographie ivre-morts iront voir au cinéma, par dépit, une nuit où le bar de strip-tease du coin sera fermé... Ne leur en déplaise, donc, Bohemian Rhapsody est un grand film. Un superbe hommage à l'un des plus grands chanteurs que la terre ait porté, une figure de légende que la plupart des générations connaissent. Queen, hors des frontières du Royaume-Uni, ce n'est pas Elizabeth II, ce sont les Rois du Rock. Et c'est bien ce que veut rappeler le film, à travers des épisodes majeurs de la vie du groupe comme de Freddie Mercury, à travers des morceaux mythiques et des reconstitutions de concerts monumentales. Les lieux légendaires, les tranches de vie s'entremêlent pour dresser le tableau d'une vie complexe, d'un homme, un performer, un chanteur à plusieurs visages et à la fin de vie d'une tristesse infinie. Là où diverge la presse, elle qui porte quotidiennement cette volonté du plus de cul, plus de sang, plus de drame, ne trouve évidemment pas son bonheur ici. Pauvre presse, pauvres médias ! Perdus qu'ils doivent être devant un film à la fois pudique et respectueux, qui n'efface rien et n'ignore pas les drames d'un monstre sacré de la musique. Aurait-il fallu être plus explicite sur sa vie sexuelle ? Sur sa maladie ? Ce n'est pas mon avis. Ce film est un récit dédié au chanteur, plus qu'à l'homme, pas un procès ni une dénonciation, ni un drame sordide, et s'il traite les deux, il prend le soin de ne pas remuer la boue qui semble tant manquer aux critiques ""pros"". Et ce portrait vibrant ne serait pas possible sans Rami Malek, sans l'interprétation sans faille de l'acteur pour lequel, sans hésiter, je vais miser pour l'Oscar du Meilleur Acteur. Reconstruction maniérée, physique, incarnation du performer de légende, l'acteur donne tout jusqu'à ce qu'on oublie, sur l'épatante séquence de fin, que celui dont les chansons nous poignardent si joyeusement, n'est pas le grand Freddie Mercury, mais l'hommage vibrant et réussi d'un acteur et d'un film, à voir absolument. "
4.0," Contrairement aux critiques qui sont visiblement lassés d’aller au cinéma, j’ai trouvé ce biopic sur Freddie Mercury souvent pertinent, même s’il ne fait effectivement qu’effleurer la complexité du personnage. Certes, l’ensemble est trop lisse par rapport aux extravagances de l’homme, mais il n’était pas non plus nécessaire de tomber dans le voyeurisme et les auteurs ont eu l’intelligence de privilégier la musique aux pages people des magazines. Ainsi, le film se regarde avec beaucoup de plaisir pour peu que l’on aime vraiment la musique de Queen, ainsi que les prestations scéniques du groupe, toujours impeccablement retranscrites. Il n’est pas interdit de trouver l’ensemble émouvant, et ceci même si le raccourci final prend des libertés avec la vérité (Freddie Mercury n’était pas au courant de sa maladie au moment du Live Aid). Ce tour de passe-passe permettait surtout de conserver une image du chanteur au moment de son triomphe absolu. Certes, cela donne une dimension hagiographique au personnage, mais peu importe puisque ceux qui viendront voir le film son généralement des fans. On apprécie en tout cas la ressemblance impressionnante de l’ensemble du casting. "
3.5," Voilà donc le biopic tant attendu de Freddie Mercury. Sans être un grand fan, j'aimais bien Queen. Un des groupes qui a bercé notre enfance et notre jeunesse. Le film n'est pas un chef d’œuvre. La mise en scène reste propre et sage. Le tout est fait on ne peut plus classiquement pour le genre. Et puis Bryan Singer, à part Usual Suspects, n'a jamais rien fait de très motivant. Tous les codes sont donc respectés ici, le portrait étant tout de même parfois à la limite de l'hagiographie. L'homosexualité du chanteur et le sida sont plus largement évoqués que ce à quoi je m'attendais. Techniquement, c'est très bien fait. On s'attache assez vite au personnage. Il faut dire que Rami Malek (Mr Robot) est assez hallucinant, même si la ressemblance n'est pas particulièrement frappante. Au final, un portrait assez attachant qui finit par être émouvant mais qui ne restera pas dans les annales. Et puis, il faut mieux aimer la musique du groupe. Un bon moment tout de même. "
4.0," Je ne suis pas très ""biopic"" et pas non plus très Queen. Et pourtant, je dois avouer que j'ai été transporté par ce Bohemian Rhapsody, et ce pendant les 2H15 que dure ce film.. Le déroulement de la carrière de Freddie Mercury se suit sans temps mort, et on se prend même à fredonner quelques uns des plus grands tubes de ce groupe mythique des années 80-90. MAIS, car il y a un petit mais, voir deux, Bryan Singer est un peu trop ""lisse"" quand il s'agit de parler homosexualité (encore très tabou dans les années 80), excès en tout genre (j'ai en tête le magnifique The Doors d'Oliver Stone), et maladie. Et d'ailleurs j'ai trouvé la fin plutôt court-circuitée et brutale, on ne voit pas du tout arriver le clap de fin. La prestation de Rami Malek est par contre bluffante de réalisme, même si sa prothèse dentaire est parfois un peu gênante, pour lui et pour le spectateur. "
3.0," Évidemment que Bohemian Rhapsody est un biopic trop sage, trop formel et qui ne dévoile pas grand-chose des aspérités de la personnalité de Freddie Mercury. De telle sorte que, dans le fond, il s’avère n’être qu'une hagiographie assez peu captivante. Quelques personnages mal écrits (les parents, le producteur, le premier amant) et des suggestions maladroites, sont quelques-uns des autres défauts d'un film assez mal ficelé au final. Et pourtant la magie Freddie Mercury parvient à opérer. Parce qu’il était ce showman d'exception, comme on n'en trouve plus aujourd'hui. Il avait un charisme fou, un sourire magnétique et était, sur scène comme chez lui. Et Rami Malek parvient à lui rendre grâce en nous proposant une composition époustouflante de mimétisme. Et surtout d’ailleurs dans la seconde partie du film, lorsque son physique épouse encore un peu plus celui du célèbre artiste. La performance du leader de Queen au concert Live Aid en 1985 a été élue « meilleure performance live de tous les temps » par un panel d'expert en 2005. Le réalisateur fait donc de cette prestation iconique le fil rouge de son long-métrage, et la reproduit presque en intégralité, soit une vingtaine de minutes, dans le final. Et c’est dans tous les moments musicaux que le film parvient vraiment à ses fins, à savoir faire partager l’aventure musicale exceptionnelle de Queen et l’aura de son leader. Au final, si les défauts du film vous passent au dessus, Bohemian Rhapsody vous fera passer un beau moment de cinéma, d’autant plus facilement si Freddie Mercury vous fascine et avec lui toute la musique de Queen. "
5.0," Depuis la première bande-annonce, j'avais envie de découvrir ce film retraçant l'histoire du groupe Queen et plus particulièrement celle de son chanteur et star : Freddie Mercury. Et je ne fus absolument pas déçu. Le film est tout simplement génial. C'est passionnant de bout en bout, on apprend énormément de choses sur le groupe et sur Freddie (du moins si comme moi vous connaissez uniquement les chansons de Queen et pas son histoire), l'interprétation et la transformation physique de Rami Malek sont impressionnantes, la réalisation de Singer est au top et que dire de la b.o du film qui est absolument magistrale (c'est Queen en même temps). Bohemian Rhapsody est un véritable régal tant pour les yeux que pour les oreilles et la scène finale est d'une puissance émotionnelle impressionnante à la fois grandiose et émouvante. Bref, vous l'aurez compris, j'ai adoré ce film qui est, pour moi, un des meilleurs films que j'ai vu cette année. Magnifique. "
3.0," Etant fan de Fredy Mercury et du groupe depuis gosse, je ne vais peut-être pas être impartial dans mon jugement. En tout cas, je suis assez objectif pour dire que ce n'est pas un film qui marquera le cinéma car je concède que ce biopic est un peu trop élogieux. Il ne va pas toujours au plus profond des choses (le côté ""folie"" du chanteur n'est que très peu détaillé, tout comme son coming-out à peine évoqué alors qu'il a été un acte important dans sa vie privée et publique) mais bon, 2h pour le biopic d'une telle star c'est tellement peu! Autre point négatif : il comporte quelques inexactitudes (surtout une grosse concernant la reformation du groupe spécialement pour le Live-Aid alors qu'ils avaient refait un album un an avant) mais moi, fan de Queen, ça ne me dérange pas tellement ça fait plaisir d'écouter pendant 2 heures des sons électriques si aiguisés et ces sons peuvent ne pas plaire aux non-fans du groupe...En tout cas impartial sur la qualité de la distribution, je ne peux que l’être tant la majeure partie du casting est très réussi. J'avais peur de ne pas retrouver le charisme de Fredy Mercury en l'acteur choisi. Mais là j'ai été stupéfait tellement Rami Malek est exceptionnel dans son interprétation, il vit réellement le rôle, au bout de quelques minutes on ne s’aperçoit même plus que c'est un rôle, c'est quasi une réincarnation. Ce film marquera sa carrière ça c'est certain.Le film ne devrait peut-être que plaire aux fans du groupe?Alors malgré ces imperfections juste pour les 15 dernières minutes consacrées à la performance de Queen au stade de Wembley, le film vaut le coup, tellement ils vous hérissent les poils!. "
5.0," Spectaculaire et magnifique ! Ce biopic est pour moi plus que réussi, retraçant l'ascension du groupe mythique Queen, et en particulier la vie de son leader Freddie Mercury. Rami Malek a eu beaucoup de pression mais je trouve que son interprétation est de très haut niveau, il est juste bluffant. J'ai vu que certaines critiques reprochaient au film d'être trop plat, trop classique ? Au contraire, l'histoire touche à tout : la formation du groupe, son ascension, ses représentations, son explosion mais aussi et surtout la complexité du caractère psychologique de Freddie. Parfois trop dirigeant mais toujours avec un grand cœur, il en aussi pas mal bavé : addictions et solitude pesante, il a été également manipulé et affaibli par sa maladie. Le réalisateur nous dresse un portrait d'un homme autant fragile qu'il était confiant sur le plan musical. Il vise juste, il émeut. Les vingt dernières minutes se clôturant par le concert live Aid sont tout simplement magiques, elles vous feront frissonner et vous émouvoir au plus haut point. Vu en Imax, c'est une grande claque. On a qu'une envie en ressortant de la salle, écouter Queen encore et encore. Fascinant, électrisant. cinephile-critique.over-blog.com "
4.5," Un hommage vibrant au groupe Queen et surtout au brillantissime Freddy Mercury, avec les chansons du groupe et des acteurs formidables. Une critique plus détaillée et d'autres sur le-blog-d-elisabeth-g.blogspot.fr "
