Note,Commentaire
5.0," Aujourd'hui, certains films d'animation (Toy Story 3, Là-haut, pour ne citer qu'eux ...) font encore des merveilles. Mais faut se l'avouer ... si y'a une part de nostalgie qui joue dedans, j'ai quand même du mal à retrouver la grandeur du Roi Lion dans les films d'animation d'aujourd'hui. Ce dessin animé-ci est une perle. Pour ma part c'est mon préféré, mais j'avoue que je suis pas trop connaisseur du bestiaire de Disney, même si j'ai eu droit à mes quelques classiques quand j'étais petit. Aujourd'hui, le Roi Lion est une œuvre intacte. Oubliez les niaiseries déconcertantes de certains dessins animés, les films d'animation restreints aux moins de 10 ans. C'est une perle, une réussite atemporelle d'émotion, de liberté, d'enchantement, d'intensité. Tout le monde peut y trouver son compte ; il y a même l'un des méchants les plus badass de l'histoire du dessin animé, au sein d'un drame familial fort. On traine dans le dessin animé toujours adapté au public, sans trainer dans la guimauve, avec même ses propres moments de noirceur. Cadencé par une BO épique et des chansons cultes (Celle de Scar est simplement redoutable), Le Roi Lion dispose d'un doublage VF excellent, ce qui est rare à dire. Au final, au milieu de tous ces personnages intéressants, dur d'admettre qu'on puisse ressortir indemne d'un tel dessin animé. La puissance viscérale de Disney a encore fait un bijou qui, 18 ans plus tard, reste gravé dans notre génération. "
5.0," Hakuna Matata tout le monde ! Voici le film considéré par beaucoup comme étant le meilleur Disney de tous les temps : ""Le Roi Lion"". Dès sa sorti en 1994, ce dessin animé a eu un immense succès mondial et français, et c'est absolument mérité ! ""Le Roi Lion"" est sans conteste l'un des plus beaux chef-d'œuvres du studio aux grandes oreilles. La recette est simple et a depuis été copiée à de très nombreuses reprises : des personnages attachants, des décors somptueux dessinés à la main, des musiques et chansons belles et faciles à retenir et bien sur une histoire émouvante et drôle à la fois. ""Le Roi Lion"" cumule tous ces ingrédients et les mélange pour en faire un magnifique film comme il n'en sort plus. Pour ce qui est des personnages attachants, Simba l'est à 100%, comme Timon et Pumba. Les décors sont évidemment d'une beauté à couper le souffle, on se croirait en Afrique du début à la fin. La musique est composée par un inconnu à l'époque, un certain Hans Zimmer Il était aidé par un chanteur célère, un certain Elton John. Les chansons sont toutes merveilleuses, tout le monde a un jour chantonné ""Hakuna Matata"". Enfin, pour ce qui est de l'histoire, elle est simplement parfaite. On suit Simba de sa naissance à sa vie adulte, on pleure à chaque fois qu'on revoit le film (les connaisseurs sauront de quelle scène je veux parler) et on rit aussi notamment grâce au duo Timon et Pumba. A noter une VF excellente avec Jean Reno en Mufasa et Emmanuel Curtil (voix de Jim Carrey) en Simba adulte. ""Le Roi Lion"" est assurément le meilleur des Disney. HAKUNA MATATA ! "
4.0," "" le roi lion "" très grand classique des studios Disney . L'histoire se déroule sur les hautes terre d'Afrique ou règne un lion tout puissant nommer mufasa qui règne sur tout les animaux de la savane . Les animaux de la jungle le respectent et l' admirent pour sa sagesse et sa générosité. Son jeune fils Simba sait qu'un jour il lui succèdera . Mais scar le frère de mufasa rêve depuis toujour de monter sur le trône . Il va alors comploter contre mufasa et Simba pour devenir roi ... "" le roi lion "" est sans conteste l'un des meilleure films des studios Disney et l'un des plus grands film d'animations tout cour . Le roi lion connu un succès planétaire lors de sa sortie en 1994 ( il y a 20 ans déjà ) pour devenir le dessin animée le plus rentable de tout les temps a l'époque . Rien qu'en France le film a attirer plus de 10 millions de spectateurs . L'histoire est très prenante . Un film a la fois drôle et émouvant . Les personnages sont très attachant . L'animation est très réussit. Les dessins sont superbes , vraiment magnifique et très détaillé . Les terres d'Afrique sont superbement bien dessiné . On s'y évade avec plaisir . Sans oublier une bande son magnifique remplit de chanson culte ( c'est l'histoire de la vie , hakuna matata ... ) qui donne la pêche avec nottament la superbe chanson de elton jonh . Un dessin animée qui a bercer mon enfance comme pas mal de gosses de ma génération qui on grandit dans les années 90 . L'une des plus belle réussite des studios disney . "
5.0," Le Roi Lion est, et personne ne pourra jamais le nier, le meilleur dessin animé Walt Disney de tous les temps!!!!!!!!!!!!!! Peut-être même le meilleur film d'animation de tous les temps!!!!!!!!!!!!!!!!!! Vous me connaissez ( ou peut-être pas ), je suis complètement gaga de Disney, je suis un immense fan et j'apprécie chaque film d'animation original des studios en question qui sort au cinéma!!!! Et comme beaucoup de monde, s'il y a bien un Disney qui nous a tous marqué pendant de longues années, même encore aujourd'hui, c'est Le Roi Lion!!!!! Alors, premièrement, l'animation est époustouflante!!!!!! Avant tout grâce aux couleurs particulièrement maîtrisées et qui nous donnent une image resplendissante de la savane africaine!!!! Et comme dans chaque Disney, ce qui fait avant tout le charme des personnages, c'est bien entendu l'originalité et le style du design, et c'est encore le cas ici!!!! Simba est presque devenu un symbole pour chaque personne existant au monde! Qui d'entre nous ne pense pas à Simba en voyant un lionceau ou même juste un lion?! On craque pour lui dès les premières secondes où  spoiler:  il est dans les pattes de sa mère  Impossible donc de ne pas s'y attacher quand il est enfant! Et même adulte, son physique est impressionnant et lui aussi culte! Pour Nala, bravo Disney! Vous avez réussi à me faire bander sur une lionne dès mon enfance! Et dessinée en plus!!! Encore un design de toute beauté! Scar a également un design culte, qui ne pense pas à Scar en voyant un lion avec des poils noirs? Ce parti pris par Disney en fait un look brillant! Et pour les personnages secondaires, ils sont tous très riches en couleur! Comme Timon, Pumbaa, Rafiki ou encore Zazu! Les effets numériques rajoutés à l'animation 2D garantissent également le spectacle!!! Cela donne de magnifiques effets de lumières sur plusieurs plans lors des chansons!!!! Mais maintenant que j'ai traité de l'animation, parlons du VRAI, DE L'ÉNORME, DE L'IMMENSE point fort du Roi Lion: LA MUSIQUE DE HANS ZIMMER ET LES CHANSONS D'ELTON JOHN!!!!!!!!!!!!!!!!!! Bordel de merde!!!!! Voilà la plus grande musique jamais composée pour un film d'animation!!!!!! Je me souviens de chaque morceau de chaque moment à chaque seconde!!!!! Tous les thèmes qu'a créé Hans Zimmer pour Le Roi Lion sont inoubliables!!!!!!!!!! Tellement puissants et tellement forts en émotion!!!!!! Le Roi Lion est, si ça se trouve, la meilleure musique qu'a jamais composé Hans Zimmer!!!! Et que dire des chansons!!!! "" L'Histoire de la Vie "" fait démarrer le film par un flamboyant défilé d'espèces animalières d'Afrique et nous annonce immédiatement que ce dessin animé va tout repousser!!!! "" Je voudrai déjà être roi "" a un rythme d'enfer! "" Soyez prêtes "" est une chanson de méchant géniale!!! "" L'Amour brille sous les étoiles "" est une chanson destinée à l'amour entre Simba et Nala juste magnifique et parfaitement orchestrée! Et bien entendu, comment ne pas parler d'une des chansons les plus cultes de notre histoire: "" Hakuna Matata ""!!!! Voilà une chanson qui mérite son succès aussi populaire! Grâce à son rythme endiablé et à sa mélodie bluffante d'inventivité, il est impossible de ne pas l'adorer à moins de n'avoir aucun goût!!!!!!! Une bande originale qui restera parmi les plus grandes de l'histoire du cinéma!!!!! Aucun souci côté doublages français! Emmanuel Curtil, Jean Reno, Jean Piat, Sybille Tureau, Michel Elias, Jean-Philippe Puymartin, Med Hondo, Michel Prud'homme, Marie-Christine Darah, Michel Mella, Dimitri Rougeul. Tous méritent d'être cités pour leurs performances exceptionnelles!!!!! Et en ce qui concerne l'histoire, l'humour et l'émotion, Disney ne nous a jamais autant gâtés!!!!!! Grâce à des personnages très charismatiques: Simba et Nala forment un couple Disney excellent, Scar est un méchant tellement impitoyable et machiavélique qu'il en est incroyablement intéressant, Timon et Pumbaa sont 2 comparses inoubliables, Rafiki est un sage complètement loufoque et donc très appréciable, tout comme Zazu qui est bien sympathique, les hyènes sont très marrantes et Mufasa a une posture et une carrure si fortes qu'il est captivant, un peu comme Le Grand Prince dans Bambi. Aucun problème sur l'humour, Disney a su trouver le juste équilibre entre humour pour enfants et humour pour adultes, il y en an donc pour tout le monde! Et on rira très souvent!!!! Mais on sera également très souvent la larme à l'oeil!!! Avant tout quand  spoiler:  Mufasa meurt sous les yeux de Simba et que Simab essaie de le réveiller!!!  J'ai fait le tour. Je pense donc ( je suis même sûr ) que mon avis est similaire à celui d'une immense majorité de spectateurs. En même temps, ceci est l'apothéose des productions Disney!!!!! Le Roi Lion a été, est, et restera à jamais le dessin animé le plus brillant qu'on ai vu au cinéma!!!!!! "
5.0," Le Roi Lion ! 32ieme film d'animation, le deuxième plus grand succès Disney (le premier étant Blanche-Neige) ainsi que l'apothéose du second age d'or ! Ce film a marqué les générations à vie et rare sont les Disney capable d'un tel exploit. Inspiré d'Hamlet avec des références au Roi Léo, l'histoire va vous transporter dans l'univers de la savane pour vous expliquer le but du Cycle de la Vie !Simba : Il est difficile de le décrire puisqu'il vient juste de naitre, je dirais que nous les spectateurs sommes Simba jeune puisqu'on découvre avec lui la Terre des Lions. On y apprend avec lui les traditions, les règles et le fonctionnement grâce à son paternel, Mufasa. Puis lorsque Simba sait ce qu'il veut devenir, on se détache de lui pour suivre sa propre évolution. Et un bravo pour Emmanuel Curtil pour sa prestation.Mufasa : Grand monarque tout puissant, incontesté et roi soleil ! Euh, on dirait l'allégorie animale de Louis 16 ?! Bon, revenons à nos gazelles. Il est comme père pour nous aussi puisqu'il nous enseigne tout ce qu'on doit savoir. Un père, qui comme avec Simba, nous avertit du danger, nous aime et nous protège. Au final, on a une grosse sympathie pour ce personnage. C'est à ce moment où on considère Mufasa comme notre père que Disney tente pour la première fois dans le monde de l'animation : Montrer un personnage mourir !! Vous vous souvenez de la mère de Bambi, c'est exactement pareil sauf que là, on vous la montre prendre la balle et s'écrouler ! Cette scène forte de sa mort qui suit directement avec l'une des scènes les plus spectaculaire qu'est la Course des Gnous (qui est un exploit grandiose) est tellement intense qu'il est impossible de ne pas pleurer ! Le soleil de sa vie a laisser place à la nuit de Scar !Scar : Si Mufasa était le côté majesté de Louis 16, Scar est sans nul doute le côté dictateur ! Sa grande force réside en son charisme et son intelligence machiavélique. Il a une telle fourberie dans ses gestes et son ombre qui grandit jusqu'à révéler son vrai visage que s'en est terrifiant. Le seul défaut de ce méchant qui pourrait facilement être dans les meilleures places d'un top, c'est qu'il est intéressant avant de devenir roi. Après son plan achevé, il devient une sorte de diva capricieuse. C'est dommage surtout qu'une scène coupée aurait pu esquiver cela. Normalement, il voulait épouser Nala, ami d'enfance de Simba, pour que son héritage perdure à travers sa lignée pour devenir immortel. Tout ça accompagné d'une reprise de Soyez prêtes ! Mais bon, c'est quand même un grand méchant avec une voix des plus envoutantes, merci Jean Piat.Timon et Pumbaa : Ils sont l'élément comique du film et niveau gag, c'est assuré notemment avec la scène d'imitation hawaienne. Bon, ça dépasse pas les pitreries du Génie mais c'est deux là on réussit à avoir une série et un film à eux tout seul ! En plus, Puymartin et Michel Elias forment un duo du tonnerre.Rafiki : Dans toutes histoires, il y a chaque fois un gourou ou un sage un peu maboul, mais là, ce babouin atteint un niveau qui fait rire tellement c'est génial. Med Hondo sait très bien interprété les rires excentriques. La particularité de ce sage c'est que quand il explique une chose philosophie, il la démontre comme ""on apprend de ses erreurs et du passé"".Le vieux Rafiki l'exprime si bien, de même pour Timon (de manière plus cool) le message du film est : ""le passé, c'est du passé ! Sans pour autant oublier qui on est !""C'est face à cela que Simba doit faire face, il a la mort de son père sur la conscience et donc il rejette son sang, il rejette son identité pour en forger une nouvelle en suivant une nouvelle voie. Et comme on ne peut revenir en arrière, on peut soit fuir ou se battre. La première est certes facile mais douloureuse alors que la deuxième est peut-être difficile mais au moins, on est fier d'affronter ses erreurs.Quel beau message ....Si c'était Simba lui-même qui tuait son père (par accident bien sur) mais là, c'est Scar donc Simba s'est culpabiliser pour rien !Animation : Un succès aussi conséquent qu'est le Roi Lion, l'animation d'une extrême qualité est aussi au rendez-vous ! J'ai du mal à critiquer puisque Disney ne fait quasiment aucune erreur dans ses classiques. Rien que la scène d'ouverture montre le talent avec l'animation de plus d'une dizaine d'animaux différents.Décors : Savane, Cimetière d'éléphant, Jungle exotique. C'est l'Afrique !! Toute la beauté de la savane africaine est représenté dans toute sa splendeur. Même les ossements du cimetière sont si bien illustrés qu'on a des frissons. Et la jungle est un véritable paradis ! C'est classique mais j'aime bien comme quoi la Terre des Lions change d'ambiance avec la lumière de Mufasa et l'obscurité de Scar.Musique : Que ce soit les chants,les instruments et le rythme, on se sent transporté par les mélodies africaines.Le Cycle de la vie : Introduction à l'univers du film en nous balançant directement les chants africains. C'est un tout autre monde qui s'ouvre à nous avec ce soleil levant. Le titre de la chanson nous indique aussi bien l'un des messages du film. Je voudrais déjà être roi : D'abord, sachez que Mufasa devait avoir sa chanson montrant toutes les responsabilités, les pouvoirs du roi ainsi que le respect du peuple envers lui. Cette chanson a été coupée mais je trouve qu'elle aurait pu être gardé car après une telle démonstration des privilèges d'un roi, Simba aurait été tout excité à l'idée de vite devenir roi à son tour. Ca aurait donc une meilleure justification pour qu'il chante son envie. On remarquera que le décor devient plus coloré et plus fantaisiste, c'est normal puisqu'on est dans l'esprit de Simba qui est encore jeune imaginant les animaux plus cartoonesque lui obéissant.Soyez Prêtes : la célèbre chanson de Scar où il expose ses idéaux. A certains moment, Scar s'apparenterait à Hitler ! Cette chanson a des allures de discours comme ceux du fureur, c'est à la fois puissant, mémorable avec une excellente mise en scène avec l'ascension de Scar pour avoir un plan face à la lune montrant qu'il est roi de la nuit et qu'elle va bientôt s'abattre sur le royaume.Hakuna Matata : Voulant dire ""il n'y a aucun problème"". Devise qui deviendra celle de Simba qui a renié son ancienne vie et donc ses traditions. C'est la chanson de la solution ""fuite"".L'amour brille sous les étoiles : Autant c'est mignon de voir deux gros chats ronronner autant cette chanson est dispensable. Désolé mais le Roi Lion est une histoire de trahison, de combattre son passé et non un histoire d'amour. Pour ma part, ça aurait mieux fonctionner si Mufasa avait raconté à son fils comment il a rencontré sa femme dans un petit coin de paradis. Si on suit le thème du Cycle de la vie comme quoi tout n'est qu'un cercle qui tourne en répétant les même geste (comme la course du soleil ou la chaine alimentaire). Ben, Simba reproduirait la même chose avec Nala et justifierai donc l'ambiance romantique des retrouvailles.Emotions : Joie et humour avec le duo comique ainsi que la jeunesse de Simba, grande tristesse avec la mort de Mufasa et frissons avec Scar (au début) et les hyènes (qui deviennent effrayantes vers la finAvis personnel : Malgré quelques points qui affaiblissent certaines choses, cela reste du grand art.Conclusion : L'un des meilleurs film d'animation de l'Histoire et cela pour des siècles. "
4.0," Un très beau dessin animé qui nous entraîne dans une savane africaine aux couleurs chatoyantes. A la fois belle, drôle et émouvante, l’histoire passionne et enchante. Les personnages, exclusivement des animaux, sont tous très travaillés et attachants. Une jolie réussite qui s’appuie également sur une merveilleuse bande originale interprétée par Elton John. On y retrouve la grandeur et la magie des premiers Disney ! Un classique indétrônable ! "
5.0," S'il ne fallait retenir qu'un seul Disney ce serait évidemment celui-là. Le Roi Lion est un film splendide, porteur d'une histoire et d'une morale universelles. C'est aussi une prouesse technique au niveau des dessins. Impossible de retenir ses larmes face à un tel chef d'œuvre que l'on ne se lasse pas encore et encore de regarder ! "
5.0," Énorme succès critique et commerciale si bien qu'il est ressorti en 3D, Le Roi Lion est l'un des films du genre qui ont rapportés le plus d'argent. Nominé aux Oscars pour ses chansons, ce film d'animation est considéré comme culte ! Mais ce long-métrage d'animation n'est-il pas juste chef-d’œuvre parmi tant d'autres sorties durant la même période ? Bien sur que NON ! Le Roi Lion fait parti de ces chef-d’œuvre qui se démarquent si bien qu'il fait parti des 10 meilleurs films d'animations au monde et que c'est l'un des 2 meilleurs Disney jamais réalisés selon moi ! Le meilleur point du film, et tout le monde est d'accord là-dessus, c'es l'extraordinaire, la cultissime bande originale (avec notamment les chansons The Circle of Life (L'Histoire de la Vie), Be Prepared (Soyez Prêtes), Hakuna Matata et Can you Feel the Love Tonight ?) que j'ai trouvé émouvante, joyeuse, triste, énergétique ect... Le doublage, qu'il soit anglais ou français est vraiment super (à vrai dire, je crois que c'est le meilleur doublage que j'ai entendu dans un film d'animation Disney). Le scénario est parfaitement et incontestablement bien ficelé ! Alors que dans certains Disney, les dialogues peuvent sembler un peux niais, dans ce film, ces derniers sont très bons.  spoiler:  Le discours de propagande de Scar est une scène musicale qui a fait beaucoup polémique, personnellement, je ne sais pas trop quoi penser de ses références mais c'est sûr que Soyez prêtes n'est pas qu'une simple chanson, que c'est une scène osée qui aurait pu être modifiée lors du montage final . Pour ce qui est de l'animation, elle est énorme : les paysages sont magnifiques, c'est vraiment du beau travail ! Alors en 3D (malheureusement, je n'ai pas fait l'expérience de voir ce long-métrage en trois dimensions), si elle est bonne, le spectateur doit être sûrement être transporté dans la savane africaine ! Pour finir, les personnages sont attachants (Simba enfant/adulte, Mufasa, Nala enfant/adulte, Sarabi, Rafiki), drôles (Zazu, Timon et Pumbaa), crazy (les trois hyènes : Shenzi, Banzai et Ed) et perfides (Scar) ; en un mot, ils ont tous été travaillés. Bref, pour tout les points positifs que je viens de citer (et encore, il m'en reste en réserve si vous n'êtes pas convaincu), Le Roi Lion fait parti de ces films cultes des années 1990 voir absolument ! "
3.5," Le roi lion est le plus gros succès du studio disney animation. Le film datant de 1994 me fait regretter l'animation 2 d. L'animation est sublime dans son ensemble. Les expressions des personnages sont vraiment soignées ainsi que leurs mouvements.. Cependant, le scénario est assez basique et les chansons assez niaises (surtout en français), malgré la bande original mélangeant musique africaine, flûte et violon de Hans Zimmer. Le film traite la thématique du pouvoir est de la succession (héritage). On a bien vu que mufasa (le roi Lion) fait l'éloge de sa monarchie et de son territoire, à l'opposé de son frère scar qui représente la dictature des nazis. On remarque également que l'Amérique religieuse est toujours présente dans ce genre de films avec le baptême du lion, du singe spirituel. Un fim d'animation tout a fait acceptable qui est considéré comme un film culte de nos jours. 7/10 "
2.0," Il m'a fallut attendre 21 ans avant de me décider à voir ce film d'animation considéré par certains comme le chef-d'oeuvre ultime de la maison Disney, le plus grand de tous les temps. Il faudrait que je revois les Disney de l'an 157 et même de la préhistoire pour m'en faire une idée. Pour le rythme, ça il y en a plus que ce qu'il faut. C'est du grand art. Itou pour les graphismes, couleurs et animation, même si on fait bien mieux aujourd'hui. Pour l'audio aussi c'est très bon, bien qu''il faut se coltiner plusieurs couches de chansons propagandistes. Et oui, dans la forme, tout est fait pour attirer. Sauf que, dans le fond, c'est horriblement manichéen! Un vrai Disney, quoi. Les gentils d'un côté, les méchants de l'autre. Puis on vous explique en long en large et en travers le système de la royauté. Un méchant (Oscar) ne sait pas diriger son royaume, un gentil (Simba ou Mufasa) si. Et on doit absolument prêter allégeance au gentil. En gros, tu nais autre chose que fils de roi, tu ne seras qu'un serviteur toute ta vie même si tu as les capacités pour en faire autre chose. Belle morale, non ?! Il y a 21 ans, j'aurais probablement apprécié sans trop me soucier de l'envers du décor. Mais avec l'âge, on ne voit plus les choses de la même manière. D'ailleurs, certains films de notre enfance et adolescence ne passent plus aujourd'hui. Ou bien juste pour la nostalgie. On vieillit, c'est certain. Mais on a facilement plus de recul et d'expérience pour faire la part des choses. "
