Note,Commentaire
"5,0","
Personnellement, je trouve qu'il s'agit du chef d'oeuvre absolu de Steven Spielberg. Son film le plus personnel aussi. Il retrace l'histoire (vraie) d'Oskar Schindler, un industriel allemand ayant profité de la seconde guerre mondiale pour créer son entreprise et engranger des sommes astronomiques. Mais parallèlement, c'est également la prise de conscience d'un homme, qui assiste à l'élaboration de la ""solution finale"", et qui décide de sauver le maximum de juifs possible. Alors que la guerre continue à ravager le monde, Schindler décide de se détourner de son propre ""parti"", afin de racheter son ignorance et son égoïsme. C'est donc autant un film historique qu'un drame intimiste que filme Spielberg. Rarement un film sur la seconde guerre mondiale aura abordé si frontalement la Shoah. Et rarement un film ne m'aura saisi à la gorge aussi durement. Même si bien évidemment le destin de Schindler a été quelque peu romancé, le cinéaste choisit pourtant de le montrer dans toute sa complexité. Homme à femmes individualiste, aussi artificiel que beau parleur, son héros est presque une machine, ayant la fortune comme seul objectif. Mais une machine qui se découvre une âme. Et Schindler n'est pas le seul à symboliser l'humanité naissante. Aussi étrange que cela puisse paraître, c'est également par le biais du colonel nazi Amon Göth que l'on discerne la lumière derrière l'obscurité. Ce dernier, psychopathe terrifiant et imprévisible, ne reste pourtant pas indifférent envers sa servante juive. Spielberg parvient parfaitement à saisir toutes les ambigüités de ces deux personnages, sans tomber dans la démonstration. Le film a beau durer plus de 3h, il m'a hypnotisé du début à la fin. La réalisation parfaite y est pour beaucoup. Aucune scène n'a été laissée au hasard. Tout comme la direction d'acteur. Liam Neeson tient ici le rôle de sa vie, et il en est plus que digne. L'acteur trône sur ce film, avec toute son élégance et sa subtilité. Par son seul regard, il réussit à traduire toute une gamme d'émotions. C'est ce qu'on appelle une performance. Dans un rôle Goth, Ralph Fiennes est aussi saisissant...mais d'une cruauté si humaine. La reconstitution de cette période a été savamment reproduite, l'utilisation du noir et blanc et des couleurs renforcent d'autant plus la puissance de l'œuvre. La musique de John Williams est, une nouvelle fois, inoubliable, marquant l'ouïe par une beauté qui fait corps avec le récit. Rarement Spielberg aura à ce point atteint ce degré de perfection dans tous les domaines. À voir et revoir.
"
"5,0","
On aurait pu s'attendre de le part de Spielberg à un manichéisme bien politiquement correct, on a au contraire une oeuvre sobre dotée d'un regard juste et réfléchi sur la nature humaine. Le réalisateur a réussi à éviter tous les écueils dans lesquels il aurait pourtant été facile de tomber : c'est d'autant plus admirable. Emouvant parce que brillant.
"
"4,5","
Le génocide des Juifs lors de la seconde Guerre Mondiale est l'un des évènements les plus marquants de l'Histoire de l'humanité. En faire un film était d'une extrême complexité. Mais Steven Spielberg y est parvenu. Se considérant incapable de faire une tel film, Spielberg a dans un premier temps refusé de réaliser ce film. Puis, après avoir parlé avec d'autres réalisateurs et amis, il se décida à finalement le réaliser. Et franchement, qui mieux que le génie du septième art (lui même juif) aurait pu réaliser une telle œuvre. Il nous livre un film d'une grande tristesse sans jamais tomber dans le pathos. On y suit Oskar Schindler, un nazi qui d'abord utilisa les juifs comme main d'œuvre peu chère pour ensuite se rendre compte de l'horreur du régime imposé par Hitler et tenter d'en sauver un maximum. Liam Neeson est très bon en Oskar Schindler. Tout comme Ben Kingsley et Ralph Fiennes dans leur rôle respectif. John Williams quant à lui parvient une nouvelle fois à composer une musique en parfait accord avec le film et qui émeut rien qu'en l'écoutant. Sûrement l'une des BO les plus tristes du cinéma. De par sa mise en scène (choix du noir et blanc par exemple) et son talent, Spielberg donna vie à un film absolument bouleversant mais en même temps tellement réaliste. Le metteur en scène n'essaye pas d'enjoliver les choses ou de les rendre encore plus horrible. Il ne fait ""que"" sortir un film grandiose sur un évènement réel, mais ça c'est déjà un exploit. Le seul reproche à faire est que le film est un tantinet trop long, donnant lieu à des scènes qui trainent légèrement. ""La Liste de Schindler"" est un chef d'œuvre qui devrait être montrer à l'école malgré certaines scènes violente mais réalistes. Au moins, cela permettrait-il à certaines personnes (pas forcément des jeunes d'ailleurs) de se rendre compte de l'atrocité qu'à été ce génocide. Merci M. Spielberg pour votre généreuse contribution (rappel : une grande partie des recettes du film a été reversée à des fondations pour les survivants de la Shoah et Spielberg a refusé de toucher un salaire pour ce film en l'honneur au victime) à la mémoire collective, on n'oubliera pas.
"
"4,0","
Oskar Schindler, fut un industriel Allemand, qui pendant la seconde guerre mondiale sauva plusieurs Juifs, notamment durant l'Holocauste. C'est cette histoire que nous raconte Spielberg à travers cette fresque. Sa mise en scène est parfaite et le choix du noir et blanc est judicieux, ce qui va rendre la photographie superbe. Mais la réussite du film, c'est d'atteindre un certain degré de dramaturgie et émotionnelle assez fort. Il nous montre ce qu'il s'est passé de manière dure, très réaliste et très crue. Il montre surtout ce qu'il y a de pire dans l'humain, à travers cette guerre, les actes de certains nazis et notamment à travers le personnage incarné par Fiennes. J'ai aussi trouvé qu'il évitait de tomber dans certains pièges que pouvait donner cette reconstitution, notamment dans le traitement de la guerre et des juifs. Bien évidemment on ne s'ennuie pas durant les 3h10 de film, c'est captivant et l'on passe d'un sentiment à l'autre. Dans l'ensemble la bande originale est plutôt bonne. Les choix d'acteurs sont impeccable, Liam Neeson trouve son meilleur rôle et incarne parfaitement cet homme énigmatique. Et que dire de Ralph Fiennes, il est brillant, tout comme le toujours sobre (mais très bon) Ben Kingsley. Avec ce film, Spielberg prouve qu'il est capable de réaliser autre chose que du divertissement, mais surtout c'est avec une grande sincérité et honnêteté qu'il nous livre cette tragique et émouvante histoire. Bouleversant.
"
"5,0","
Considéré comme l'un des films les plus personnels de Spielberg, si ce n'est le, ""La liste de Schindler"" n'est ni plus ou moins qu'un grand film historique. Je ne vais pas le cacher, j'étais très très impatient de voir ce film: déjà, parce que c'est Spielberg, et aussi parce que le film a une sacrée réputation: le chef d'oeuvre ultime de Spielby, le meilleur film sur la Shoah, l'un des films les plus émouvants qui existe, etc, etc. Et même si je ne crie pas au film ultime de la carrière à Spielberg (je pense que je le préfèrerai toujours dans ses films de sf ou d'aventure), et ni au film le plus émouvant que j'ai vu (mais peut-être bien l'un des plus émouvants), je crie au chef d'oeuvre. Et c'est déjà plus que pas mal. Il faut dire que le film est quasi parfait en tout point. Déjà, la mise en scène de Spielberg est très inspirée et efficace. Certains plans sont époustouflants de beauté. Et pourtant, il n'y a rien de grandiloquent dans ce film qui permet des plans pareils. Mais j'avais rarement vu un travail aussi réussi dans le cadrage et la composition des plans: par exemple, lors 
spoiler: 
de l'introduction de Schindler à la soirée
 (scène particulièrement réussie). Spielberg utilise souvent la caméra à l'épaule (ce qu'il refera dans ""Saving private Ryan"") et le choix est judicieux car l'immersion est là. A noter une reconstitution excellente (décors, costumes...) qui y participe. Aussi, la photographie de Janusz Kaminski est somptueuse. Le choix de réaliser le film en noir et blanc est judicieux, donnant une atmosphère très appréciable. Et le travail sur l'éclairage est remarquable. J'ai vu le film en blu-ray, et le résultat est juste incroyable de beauté. La collaboration entre Spielberg et ce chef-opérateur est l'un des meilleurs choix de sa carrière ! John Williams est bien sur à la musique, et celui-ci nous livre une composition sublime et particulièrement dans le ton. Le thème principal, surtout, est marquant et très beau. Le montage est plutôt excellent: certaines scènes comme 
spoiler: 
l'engagement de certains juifs pour l'usine de Schindler vers le début du film
 sont montés de manière très efficace. Et le film réussit le tour de force de nous captiver dans l'ensemble pendant 3h15 ! Mais là ou c'est dommage (et je dois de plus en plus avoir un problème avec les longs films), c'est que j'ai ressenti quelques longueurs, ce qui plombe quelque peu cette grande fresque. Oui, vraiment dommage. Sinon, l'une des raisons pour laquelle ce film tient en haleine pendant 3 heures, c'est bien sur le scénario de Steven Zaillian. Et honnêtement, je l'ai trouvé brillant. J'ai bien aimé par exemple le cheminement de l'histoire, qui mélange le parcours de Schindler à celui des Juifs. On voit beaucoup dans le film la vie des Juifs dans le ghetto puis le camp, et même si ce n'est pas vraiment l'axe principal de l'histoire (je me comprend), on a pas l'impression de voir du hors-sujet). Aussi, en plus de contenir des répliques excellentes, le scénario contient l'idée géniale de 
spoiler: 
rendre ambigu le personnage de Schindler
. Là ou dans un film pareil, il est important d'humaniser complètement le personnage afin de le rendre attachant, il est ici 
spoiler: 
totalement mystérieux et imprévisible
. Et le pari est gagné car ça donne très clairement un meilleur aspect au film, et surtout, le personnage fascine. Il arrive à être attachant. Car malgré tout, Spielberg le montre 
spoiler: 
parfois rempli d'un minimum d'humanité, comme lorsqu'il réconforte la pauvre servante juive
. Bref, le personnage de Schindler est une réussite totale. Mais l'écriture du personnage n'est pas la seule à participer à cette réussite: il y a évidemment Liam Neeson. Et...wow, que dire ? C'est tout simplement le rôle de sa vie. Déjà que Spielberg arrive à le mettre en valeur de façon brillante, l'acteur est parfait dans son rôle. Il arrive à être imposant et terriblement charismatique, tout en étant émouvant à la fin malgré l'apparente froideur du personnage. Une interprétation pareille sert le film, c'est certain, et on peut s'en contenter. Sauf qu'il n'y a pas que lui qui impressionne: dans le rôle d'un bourreau Nazi détestable et écoeurant, Ralph Fiennes est juste hallucinant. Bigre, qu'il fait froid dans le dos dans son rôle ! J'ai rarement vu de personnage aussi détestable ! Et le pire dans tout ça, c'est que le personnage a vraiment existé, et on ne peut qu'être choqué de se dire qu'une personne aussi cruelle a martyrisé à ce point ses semblables. Dans le casting, Ben Kingsley est aussi très bon en Itzhak Stern et complète le trio d'excellents acteurs qui dominent le film. Le reste des acteurs secondaires est bon aussi. Le film atteint selon moi son apogée lors de moments hallucinants de maitrise: il y a par exemple 
spoiler: 
la déportation des juifs du ghetto au camp
, scène d'une dizaine de minutes impressionnante et glaçante. J'ai vu très peu de films sur le sujet, mais cette scène est très clairement la reconstitution la plus forte, précise et réaliste que j'ai vu d'un moment pareil. Et la vie au camp, 
spoiler: 
avec les meurtres gratuits et brutaux, ainsi que les humiliations sur les juifs
, est aussi représentée d'une manière très réussie. Il y a aussi 
spoiler: 
la fameuse scène des douches
 qui, même si je l'ai trouvé discutable, est très forte et nous fait totalement ressentir la peur des personnages. Avec ce long-métrage, Spielberg a réussi son principal pari: ""nous montrer avec force ce qu'il ne doit plus jamais se reproduire"" (selon ses propres mots, merci la jaquette du blu-ray). C'est un film historique fort, subtil dans ses émotions et surtout très réaliste. C'est une expérience glaçante et émouvante que nous offre là le maitre: tout simplement à ne pas manquer. Un de ses meilleurs films, et surtout, la meilleure représentation que j'ai vu de cette triste époque ! « Celui qui sauve une vie sauve l'humanité toute entière ».
"
"5,0","
Incroyable film sur Oskar Shindler, cet homme nazi d'aspect mais sauveur de juifs en son for intérieur. Cela lui rend un véritable hommage sur ce qu'il a fait. Puis l'acteur principale est magnifique, avec ses mimiques et paroles qui nous laisse pantois. En faite qu'il soit acteur ou figurant, cela ne pose pas de problèmes car on voit que tout le monde sert à quelque chose, tout le monde est à sa place et à son rôle. La fin est sublime : 
spoiler: 
les juifs sauvés qui déposent une pierre sur la tombe de leur sauveur.
 Oui ce film mérite d'être noté, oui il mérite toute notre gratitude car Spielberg à ici fait un travail tout simplement hors norme. Donc n'hésitez pas à le voir, car vous aimerez sûrement ce chef d’oeuvre, et vous ne l'oublierez pas de si tôt.
"
"5,0","
""Schindler's List"" ou le meilleur film de Steven Spielberg et un des meilleurs films de l'Histoire. Récit, émouvant et déchirant de la Shoah, le chef d'oeuvre ultime de Spielberg bouleverse en premier lieu par sa mise en scène, qui osons le dire est parfaite. Plans ambiguës, pleines de sous entendu lourdes de sens, l'ami Steven évite tous les poncifs du mélo pour se contenter que d'une chose : retranscrire. Elle est là la force de Spielberg, ne jamais tomber dans le pathos dans les films qui lui sont chers et on retrouvera ce coté objectif avec ""Saving Private Ryan"". Les scènes marquantes se suivent, et elles ont toutes un sens, une portée incommensurable. Le choix du noir et blanc n'est pas anodin, il permet à Spielberg de se détacher de toutes émotions, de ne conserver que la puissance des images. L'unique chose qu'il conserve c'est par le biais d'une petite fille au manteau rouge se promenant dans les rues jonchées de cadavres. Cette chose ? L’innocence. Déchirant. La direction d'acteur n'est pas en reste avec un Liam Neeson brillant de bout en bout, qui va, au fur et a mesure, découvrir l'ampleur de la monstruosité nazie, parfaitement secondé par un Ben Kingsley au sommet, porteur d'espoir et un Joseph Fiennes aussi implacable qu’ambiguë. Le tout est sublimé par la musique de John Williams, qui compose ici sans doute sa plus belle partition. Tout en pudeur, Spielberg livre ici, bien plus qu'un film, il signe un véritable hommage a cette triste page de l'Histoire. Un film qu'on se doit de regarder. A titre personnel je le considère comme l'un des films du siècle. Inoubliable.
"
"5,0","
""La Liste de Schindler"" est sans doute le meilleur film de Spielberg pour moi. Il aborde une des périodes les plus sombres de l’histoire de l’humanité. Plus abordable que ""Shoah"" (le meilleur documentaire sur les camps de concentration, mais qui dure 9h30 !), il retrace, fidèlement et sans manichéisme exacerbé, l’histoire d’Oskar Schindler, ce milliardaire autrichien qui dépensa toute sa fortune pour sauver de nombreux juifs du camp de concentration de Treblinka. La mise en scène est magnifiée par l’utilisation du noir et blanc. La scène de la petite fille au manteau rouge qu’on verra en couleur a été un peu critiquée, mais je trouve qu’elle est profondément marquante. Tout comme le réalisme apporté à la recréation des camps de concentration. Liam Neeson incarne avec brio Schindler, Ben Kingsley est irréprochable dans le rôle de Stern et Ralph Fiennes incroyable dans celui du terrible Amon Goeth. La musique de John Williams est tout simplement l'une de ses plus belles compositions. En conclusion, on peut dire que ""La Liste de Schindler"" est un film important, qu’il faut voir au moins une fois dans sa vie.
"
"5,0","
Un film réussi sur l'holocauste et les camps de la mort. La barbarie et la monstruosité de l'humain ressortent violemment à travers une mise en scène génialement cruelle, froide et sans concession. Le film laisse un malaise terrible à la fin. Que d'efforts pour sauver quelques vies au milieu d'un massacre effroyable, organisé à l'échelle industrielle ! Quand à l'ignominie des dessous de table pour acheter la sauvegarde de quelques malheureux, elle en dit long ! L'objectif de cette œuvre est atteint. Il nous explique tout n'est pas noir, tout n'est pas blanc. L'horreur est partout, mais il existe des îlots de bonté et de générosité qui résistent là où nous les attendons le moins. Liam Neeson est remarquable, malgré ses derniers choix un peu douteux, il montre ici ses grandes qualités d'acteur. Ce film est un chef-d’œuvre dans lequel Spielberg offre le meilleur de lui-même ...
"
"5,0","
film émouvant et sobre à la fois retraçant un triste et atroce épisode de la guerre 39-40 à savoir l'holocauste ce film colle à la réalité.Les acteurs sont excellents :Liam Neeson impeccable dans le rôle d'oskar Schindler cet industriel qui a sauvé la vie à 1.100 juifs polonais en les employant dans son usine et qui a été proclamé JUSTE !!Ben Kingsley au combien émouvant dans le rôle du comptable dévoué et reconnaissant envers SCHINDLER et envers ses pauvres compatriotes c'est lui qui a établi cette fameuse liste !!!Raphl FIENNES dans le rôle de ce monstre de soldat nazi responsable du camp avec un regard à faire peur copie conforme du comportement de GOET qui tuait au gré de ses humeurs de pauvres prisonniers Un film en noir et blanc à voir absolument
"
